GPS TOW (s),GPS Week,Latitude (deg),Longitude (deg),Ellipsoid Height (m),ECEF X (m),ECEF Y (m),ECEF Z (m),Roll (deg),Pitch (deg),Heading (deg),East Velocity (m/s),North Velocity (m/s),Up Velocity (m/s)
546210,2355,35.161451377,136.882647775,34.234209,-3810483.819139,3567952.886178,3652544.574236,-0.717738,5.304446,72.482072,10.619,3.244,0.55
546211,2355,35.161481371,136.882764678,34.867238,-3810490.077914,3567944.155406,3652547.65923,-0.579202,5.725288,71.643789,10.673,3.413,0.615
546212,2355,35.161513327,136.882881515,35.549315,-3810496.270319,3567935.370734,3652550.950435,-0.952158,5.79966,70.789982,10.642,3.59,0.646
546213,2355,35.161546358,136.882997695,36.255253,-3810502.385884,3567926.59611,3652554.352915,-1.260117,5.664939,70.396837,10.551,3.647,0.694
546214,2355,35.161579537,136.883112906,36.937037,-3810508.419743,3567917.86597,3652557.754926,-0.907845,5.785938,70.161861,10.475,3.662,0.688
546215,2355,35.16161235,136.883227062,37.5943,-3810514.390336,3567909.208269,3652561.109598,-1.280924,5.697408,70.157377,10.302,3.61,0.656
546216,2355,35.16164441,136.883338616,38.242106,-3810520.228361,3567900.751223,3652564.390498,-1.143111,5.356741,70.198868,10.012,3.505,0.617
546217,2355,35.161675326,136.883446636,38.799037,-3810525.845424,3567892.528403,3652567.515276,-1.409134,4.758056,70.187874,9.681,3.378,0.433
546218,2355,35.161705793,136.883551178,39.221001,-3810531.186282,3567884.481013,3652570.521665,-1.276585,4.174398,69.352937,9.371,3.411,0.322
546219,2355,35.161736647,136.883651601,39.516508,-3810536.177075,3567876.620006,3652573.490358,-1.332808,3.046442,68.499218,8.905,3.403,0.16
546220,2355,35.16176703,136.883746715,39.699635,-3810540.792255,3567869.069844,3652576.351511,-1.254799,2.845927,68.438684,8.493,3.262,0.124
546221,2355,35.16179605,136.883838565,39.816451,-3810545.228064,3567861.759228,3652579.050949,-1.412865,2.470675,69.104674,8.253,3.072,0.027
546222,2355,35.161822722,136.883927239,39.90317,-3810549.557695,3567854.745603,3652581.51997,-1.306869,2.503908,70.150334,7.931,2.785,0.065
546223,2355,35.161847151,136.884012188,39.994936,-3810553.76295,3567848.080363,3652583.788598,-1.060752,2.605719,70.532402,7.566,2.589,0.092
546224,2355,35.161869926,136.884093254,40.058077,-3810557.786471,3567841.729692,3652585.890613,-1.516194,2.461661,70.59285,7.207,2.458,0.055
546225,2355,35.161891407,136.884169488,40.127419,-3810561.573146,3567835.760284,3652587.87889,-1.725777,2.520332,70.46153,6.661,2.3,0.052
546226,2355,35.161911737,136.884239721,40.184663,-3810565.032536,3567830.233599,3652589.755745,-1.726111,2.45188,70.362058,6.186,2.141,0.018
546227,2355,35.161930916,136.884305707,40.23942,-3810568.279699,3567825.038088,3652591.526872,-1.464128,2.564687,70.356436,5.932,2.055,0.034
546228,2355,35.161949623,136.884370885,40.28408,-3810571.492514,3567819.911351,3652593.249317,-1.624096,2.208438,70.75407,5.953,2.023,0.018
546229,2355,35.161967408,136.884436427,40.279076,-3810574.741409,3567814.772931,3652594.859463,-1.385569,2.199484,72.088824,6.046,1.899,-0.011
